manifest	sample_id	individual	group	age
limal	GSM4173504	WT1	WT	7m
vuhil	GSM4173505	WT2	WT	7m
livag	GSM4173506	WT3	WT	7m
pubud	GSM4173507	Trem2_KO1	Trem2_KO	7m
pufod	GSM4173508	Trem2_KO2	Trem2_KO	7m
mukij	GSM4173509	Trem2_KO3	Trem2_KO	7m
mimib	GSM4173510	WT_5XFAD1	5XFAD	7m
rabom	GSM4173511	WT_5XFAD2	5XFAD	7m
biraj	GSM4173512	WT_5XFAD3	5XFAD	7m
jisug	GSM4173513	Trem2_KO_5XFAD1	Trem2_KO_5XFAD	7m
gubut	GSM4173514	Trem2_KO_5XFAD2	Trem2_KO_5XFAD	7m
ronal	GSM4173515	Trem2_KO_5XFAD3	Trem2_KO_5XFAD	7m
